filename,wp_media_url,asset_type,page/section,persona,description,usage_notes
pillar1_03_sandals.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar1_03_sandals.jpg,lifestyle-scene,Pillar 1 Cracked Heels / Seasonal tie-in,Persona 2,Feet stepping out of sandals onto pavement, late-summer light.,Fixed scene - use as-is.
pillar2_01_soaking.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar2_01_soaking.jpg,lifestyle-scene,Pillar 2 Ingrown Toenails / Hero,Persona 2,Feet soaking in a small basin, steam rising, spa-like calm.,Fixed scene - use as-is.
pillar2_02_trimming.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar2_02_trimming.jpg,lifestyle-scene,Pillar 2 Ingrown Toenails / What causes it,Persona 2,Hands trimming toenails carefully at a bathroom sink.,Fixed scene - use as-is.
pillar2_03_elevated.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar2_03_elevated.jpg,lifestyle-scene,Pillar 2 Ingrown Toenails / Relief mood,Persona 2,Feet resting on a cushioned stool, elevated, relief mood.,Fixed scene - use as-is.
pillar3_01_foot_file.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar3_01_foot_file.jpg,lifestyle-scene,Pillar 3 Hardened Skin / Hero,Persona 2,Foot file resting beside bare feet on a towel.,Fixed scene - use as-is.
pillar3_02_pumice.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar3_02_pumice.jpg,lifestyle-scene,Pillar 3 Hardened Skin / Soaking,Persona 2,Feet soaking with a pumice stone nearby.,Fixed scene - use as-is.
pillar3_03_texture.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar3_03_texture.jpg,lifestyle-scene,Pillar 3 Hardened Skin / Before-after texture,Persona 2,Close-up documentary-style shot of heel texture.,Fixed scene - use as-is.
pillar4_01_wool_socks.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar4_01_wool_socks.jpg,lifestyle-scene,Pillar 4 Dry Skin / Hero,Persona 2,Feet in cozy wool socks by a window, winter light.,Fixed scene - use as-is.
pillar4_02_dry_skin.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar4_02_dry_skin.jpg,lifestyle-scene,Pillar 4 Dry Skin - candidate (texture close-up, not currently placed on the live page),Persona 2,Close-up of dry, flaky skin texture on a heel.,"Fixed scene - use as-is. Was the ""Socks, tights"" editorial-feature-reveal Image B until 2026-07-31, when it was swapped for molosoc_spa_treatment_02.jpg on the live page. Free for another slot."
pillar4_03_radiator.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar4_03_radiator.jpg,lifestyle-scene,Pillar 4 Dry Skin / Winter dryness,Persona 2,Feet near a radiator, winter dryness mood.,Fixed scene - use as-is.
pillar5_01_drawer.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar5_01_drawer.jpg,lifestyle-scene,Pillar 5 Cream That Works / Cream graveyard drawer,Persona 1,Bathroom drawer half-open with 3 half-used cream tubes.,Fixed scene - use as-is. Core visual for the Persona 1 "cream graveyard" narrative.
pillar5_02_squeezing.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar5_02_squeezing.jpg,lifestyle-scene,Pillar 5 Cream That Works / Empty tube humor,Persona 1,Hands squeezing the last bit from an almost-empty tube.,Fixed scene - use as-is.
pillar5_03_nightstand.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/pillar5_03_nightstand.jpg,lifestyle-scene,Pillar 5 Cream That Works / Bedtime ritual,Persona 1,Nightstand with cream bottle and a book, bedtime ritual mood.,Fixed scene - use as-is.
persona3_01_painted_nails.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/persona3_01_painted_nails.jpg,lifestyle-scene,Product page / Make the pedicure last,Persona 3,Freshly painted toenails on a spa towel.,Fixed scene - use as-is.
persona3_02_diy_pedicure.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/persona3_02_diy_pedicure.jpg,lifestyle-scene,Product page / Make the pedicure last,Persona 3,At-home pedicure setup, bowl of water, candle, DIY spa mood.,Fixed scene - use as-is.
persona4_01_gift_box.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/persona4_01_gift_box.jpg,lifestyle-scene,Product page / Give it as a gift,Persona 4,Wrapped small gift box with a ribbon on a table.,Fixed scene - use as-is.
persona4_02_giving_gift.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/persona4_02_giving_gift.jpg,lifestyle-scene,Product page / Give it as a gift,Persona 4,Two pairs of hands - one giving a wrapped gift to another.,Fixed scene - use as-is.
seasonal_01_presummer.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/seasonal_01_presummer.jpg,lifestyle-scene,Product page / Seasonal - pre-summer,—,Feet in sandals next to a suitcase, travel-prep excitement.,Fixed scene - use as-is. Time to pre-summer window (Apr-Jun).
seasonal_02_postsummer.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/seasonal_02_postsummer.jpg,lifestyle-scene,Product page / Seasonal - post-summer,—,Sandy bare feet on a towel after a beach day.,Fixed scene - use as-is. Time to post-summer repair window (Aug-Sept).
seasonal_03_winter.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/seasonal_03_winter.jpg,lifestyle-scene,"Multi-use: Product page / Seasonal - winter + Pillar 4 Dry Skin / ""Socks, tights, and the dryness nobody talks about"" (Image A, before the circular mask opens)",—,Feet tucked into a blanket with tea nearby, cozy private ritual.,"Fixed scene - use as-is. Time to winter habit-building window (Oct-Mar). ASSIGNED 2026-07-31 as Pillar 4's editorial-feature-reveal Image A — sits above pillar4_02_dry_skin.jpg (Image B) in the circular-mask reveal."
hero_pair_bedroom.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_pair_bedroom.jpg,lifestyle-scene,Product page / Hero - RECOMMENDED WINNER,—,Product pair shown in a warm bedroom scene - salt lamp, books, tea.,Fixed scene - use as-is. Chosen as strongest hero candidate for warmth/context over sterile studio shots.
hero_pair_scandi.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_pair_scandi.jpg,lifestyle-scene,Product page / Hero - backup candidate,—,Product pair on a coffee table, clean minimal living-room setting.,Fixed scene - use as-is. Backup hero if bedroom version underperforms.
hero_pair_bamboo.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_pair_bamboo.jpg,lifestyle-scene,Product page / Hero - candidate,—,Product pair styled with bamboo/natural material props.,Fixed scene - use as-is. Not yet chosen as primary hero.
hero_pair_white_env.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_pair_white_env.jpg,lifestyle-scene,Product page / Hero - candidate,—,Product pair on plain white/neutral background.,Fixed scene - use as-is. More studio-style, less lifestyle context than the bedroom/scandi options.
molosoc_elegant_white_pair.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_elegant_white_pair.jpg,lifestyle-scene,Product page / Hero - candidate,—,Elegant styled product pair shot.,Fixed scene - use as-is. Not yet chosen as primary hero.
molosoc_white_bamboo.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_white_bamboo.jpg,lifestyle-scene,Product page / Hero - candidate,—,Product shown with white/bamboo styling.,Fixed scene - use as-is. Not yet chosen as primary hero.
molosoc_pack_gift.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pack_gift.jpg,lifestyle-scene,Product page / Gift pack - candidate,Persona 4,Product packaging styled as a gift.,Fixed scene - use as-is.
molosoc_pack_gift_v2.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pack_gift_v2.jpg,lifestyle-scene,"Product page / Gift pack - candidate, CHECK LABEL TEXT",Persona 4,Product packaging as a gift - product label text is visible in-frame.,CHECK BEFORE USE - label/packaging text is legible in this render; verify wording is correct/finalized before publishing.
molosoc_pack_gift_v3.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pack_gift_v3.jpg,lifestyle-scene,Product page / Gift pack - candidate,Persona 4,Product packaging styled as a gift, alt version.,Fixed scene - use as-is.
molosoc_pack_env1.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pack_env1.jpg,lifestyle-scene,"Product page / Packaging - candidate, CHECK LABEL TEXT",—,Packaging shown in an environment - label text visible.,CHECK BEFORE USE - label/packaging text is legible in this render; verify wording before publishing.
molosoc_pack_env2.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pack_env2.jpg,lifestyle-scene,"Product page / Packaging - candidate, CHECK LABEL TEXT",—,Packaging shown in an environment - label text visible.,CHECK BEFORE USE - label/packaging text is legible in this render; verify wording before publishing.
molosoc_pack_env3.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pack_env3.jpg,lifestyle-scene,"Product page / Packaging - candidate, CHECK LABEL TEXT",—,Packaging shown in an environment - label text visible.,CHECK BEFORE USE - label/packaging text is legible in this render; verify wording before publishing.
molosoc_gift_healing.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_gift_healing.jpg,lifestyle-scene,Product page / Gift - candidate,Persona 4,Gift-framed product shot, healing/care angle.,Fixed scene - use as-is.
molosoc_gift_healing_v2.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_gift_healing_v2.jpg,lifestyle-scene,Product page / Gift - candidate,Persona 4,Gift-framed product shot, alt version.,Fixed scene - use as-is.
molosoc_product_only.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_product_only.jpg,isolated-product-cutout,Product page / What's in the box,—,Product shown alone with minimal/no environment.,Closer to a flexible/isolated asset than a full lifestyle scene - check if background is plain enough to composite similarly to Molosoc-Product-Standing-Compress.png.
molosoc_product_with_pack.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_product_with_pack.jpg,lifestyle-scene,"Product page / What's in the box, CHECK LABEL TEXT",—,Product with its packaging shown together - label text visible.,CHECK BEFORE USE - label/packaging text is legible in this render; verify wording before publishing.
molosoc_two_sizes_env.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_two_sizes_env.jpg,lifestyle-scene,Product page / Sizes shot - candidate,—,Two product sizes shown together in an environment.,Fixed scene - use as-is. Useful if you add a size-selection UI element.
molosoc_two_sizes_env2.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_two_sizes_env2.jpg,lifestyle-scene,Product page / Sizes shot - candidate,—,Two product sizes shown together, alt angle.,Fixed scene - use as-is.
molosoc_salt_cave.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_salt_cave.jpg,lifestyle-scene,Uncategorized - stylistic render,—,Stylistic render, salt-cave/spa aesthetic.,Fixed scene - use as-is. Not yet mapped to a specific page section.
molosoc_mirrored_tropical.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_mirrored_tropical.jpg,lifestyle-scene,Uncategorized - stylistic render,—,Stylistic render, tropical/mirrored aesthetic.,Fixed scene - use as-is. Not yet mapped to a specific page section.
homepage_04_bedroom_blanket-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_04_bedroom_blanket-scaled.jpg,lifestyle-scene,Homepage / Hero,—,Bare feet peeking out from under a blanket in a bright white bedroom - the reference shoot for the homepage's premium Scandinavian wellness direction.,Fixed scene - color-graded (cooled/brightened) for the hero 2026-07-24; this grade is now the visual reference every other homepage image is matched against. ASSIGNED - current live homepage hero.
hero_collection_02_cream-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/hero_collection_02_cream-scaled.jpg,lifestyle-scene,Homepage / Brand pillars (cream-application beat),—,Hands massaging cream into a foot on white linen in a bright bedroom - same photoshoot as the homepage hero.,Fixed scene - use as-is; matches the hero's cool/bright grade natively, no color correction needed. ASSIGNED 2026-07-24, replacing homepage_02_cream_massage.jpg.
homepage_03_livingroom_footrest-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_03_livingroom_footrest-scaled.jpg,lifestyle-scene,Homepage / Brand pillars (simple ritual beat),—,Bare feet up on a wooden side table in a calm minimalist living room - same photoshoot as the homepage hero.,Fixed scene - color-graded to match hero 2026-07-24. ASSIGNED, replacing homepage_03_bathroom_shelf.jpg.
homepage_01_bathroom_bench-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage_01_bathroom_bench-scaled.jpg,lifestyle-scene,Homepage / Brand pillars (self-care beat - immersive wide treatment),—,Sunlit minimalist bathroom hallway - sheer curtains, wood beams, ceramic vase, bare feet on a linen bench. Same photoshoot as the homepage hero.,Fixed scene - color-graded to match hero 2026-07-24. Displayed near-full-frame at 16:9 (not the 4:5 crop used elsewhere in this list) so the architecture and atmosphere read clearly. ASSIGNED, replacing homepage_04_couch_evening.jpg.
Molosoc-Real-3-months-results-1.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/Molosoc-Real-3-months-results-1.jpg,customer-proof-photo,Homepage / Three month results (social proof beat),—,Real customer 3-month before/after toenail transformation - four panels, time-stamped and unedited.,Fixed scene - display the FULL image uncropped, centered, large, per the brand's "no filters" authenticity claim; do not retouch or crop. ASSIGNED 2026-07-24.
molosoc_ritual_hallway_walk-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_hallway_walk-scaled.jpg,lifestyle-scene,Uncategorized - candidate (self-care ritual set),—,Bare legs walking barefoot down a sunlit minimalist hallway toward a console table with a ceramic vase.,Fixed scene - use as-is. Same premium Scandinavian photoshoot family as the homepage hero. Not yet mapped to a specific page section.
molosoc_ritual_vanity_cream-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_vanity_cream-scaled.jpg,lifestyle-scene,Uncategorized - candidate (self-care ritual set),—,Person seated on a wooden bench applying cream to bare legs and feet at a minimalist bathroom vanity.,Fixed scene - use as-is. Same photoshoot family as the homepage hero. Strong candidate for a pillar/product page cream-application beat. Not yet mapped to a specific page section.
molosoc_ritual_livingroom_rest-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_livingroom_rest-scaled.jpg,lifestyle-scene,Uncategorized - candidate (self-care ritual set),—,Wide shot of bare feet resting on a sofa in a bright minimalist living room with floor-to-ceiling curtains.,Fixed scene - use as-is. Same photoshoot family as the homepage hero. Not yet mapped to a specific page section.
molosoc_ritual_reading_nook-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_reading_nook-scaled.jpg,lifestyle-scene,"Pillar 3 Hardened Skin / ""Foot corn cure"" (Image A, before the circular mask opens)",—,Person reading in a leather-and-wood armchair, bare feet crossed on the floor beside a sheer-curtained window.,"ASSIGNED 2026-07-31. Fixed scene - use as-is. Same photoshoot family as the homepage hero. Quiet bare-feet-at-rest mood ahead of pillar3_03_texture.jpg (Image B) in the circular-mask reveal."
molosoc_ritual_morning_kitchen-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_morning_kitchen-scaled.jpg,lifestyle-scene,Uncategorized - candidate (self-care ritual set),—,Barefoot figure at a minimalist kitchen counter during a morning pour-over coffee ritual.,Fixed scene - use as-is. Same photoshoot family as the homepage hero. Not yet mapped to a specific page section.
molosoc_ritual_bedside_rug-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_bedside_rug-scaled.jpg,lifestyle-scene,"Pillar 4 Dry Skin / Go deeper (""Dry skin feet home remedies"" thumbnail)",—,Bare feet stepping onto a soft cream wool rug beside the bed in a bright bedroom.,"ASSIGNED 2026-07-31. Fixed scene - use as-is. Same photoshoot family as the homepage hero. Cozy at-home moment fits the ""home remedies"" spoke card directly."
molosoc_ritual_ankle_cream_closeup-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_ankle_cream_closeup-scaled.jpg,lifestyle-scene,"Pillar 4 Dry Skin / Go deeper (""Dry foot skin treatment"" thumbnail)",—,Close-up of hands massaging cream into an ankle and heel on white linen bedding.,"ASSIGNED 2026-07-31. Fixed scene - use as-is. Same photoshoot family as the homepage hero; alternate angle to hero_collection_02_cream. Cream-application close-up fits the ""treatment"" spoke card directly."
molosoc_ritual_daybed_lounge-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_daybed_lounge-scaled.jpg,lifestyle-scene,Uncategorized - candidate (self-care ritual set),—,Bare feet up on a wooden-framed daybed, reading beside sheer curtains and a stone floor.,Fixed scene - use as-is. Same photoshoot family as the homepage hero. Not yet mapped to a specific page section.
molosoc_ritual_bath_stool_towels-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_bath_stool_towels-scaled.jpg,flatlay,Uncategorized - candidate (self-care ritual set),—,Three-panel bathroom composition - a small wood stool with folded white towels beside a freestanding tub, then bare feet standing next to it.,Fixed scene - use as-is; already a 3-up composite, not a single crop. Same photoshoot family as the homepage hero. Not yet mapped to a specific page section.
molosoc_ritual_platform_bed_blanket-scaled.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ritual_platform_bed_blanket-scaled.jpg,lifestyle-scene,Uncategorized - candidate (self-care ritual set),—,Bare feet peeking out from under a blanket on a low wooden platform bed beside a floor-to-ceiling window.,Fixed scene - use as-is. Same photoshoot family as the homepage hero; alternate composition to the current hero image. Not yet mapped to a specific page section.
molosoc_cream_drawers.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_cream_drawers.jpg,lifestyle-scene,Category page / Reusable vs. disposable: the real cost (background),Persona 2,"Open wooden bathroom drawer crowded with half-used cream tubes and torn sachet packets, marble countertop above, sunlit window alongside.","ASSIGNED 2026-07-30. Used as a CSS background-image behind the cost-comparison cards (category.css), washed with a 75%-white overlay so text stays legible - not meant to be shown at full opacity as a standalone photo."
molosoc_pedicure_relaxing.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pedicure_relaxing.jpg,lifestyle-scene,Category page / Who this is for (Image B - revealed after the circular mask opens),Persona 2,"Woman in cream loungewear relaxing on a daybed, smiling down at her bare feet resting on a folded blanket, cup of tea on a wooden table, bright sheer-curtained room.","ASSIGNED 2026-07-29. Editorial-feature-reveal Image B - sits underneath hero_collection_03_relaxing-scaled.jpg (Image A) in the circular-mask reveal."
molosoc_disposable_mask_editorial.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_disposable_mask_editorial.jpg,lifestyle-scene,Category page / Disposable sock masks vs. reusable foot covers,Persona 2,"A foot inside a clear single-use plastic sock mask, cream visibly pooled inside, stepping onto a wool rug in front of a wooden stool with a folded towel.","ASSIGNED 2026-07-29. Fixed scene - use as-is. Illustrates the disposable-mask side of the category page's comparison argument."
3d_turntable_01_mirror.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_turntable_01_mirror.jpg,lifestyle-scene,Category page / Hero,—,"CGI product render: foot cover in three-quarter front angle, pre-mirrored (toe pointing left, M logo on the right), on a round turntable pedestal, plain white backdrop.",ASSIGNED. Current live category-page hero media.
3d_render_01_front_nobg.png,https://staging.molosoc.com/wp-content/uploads/2026/07/3d_render_01_front_nobg.png,isolated-product-cutout,"Multi-use: Homepage final CTA + Category page final CTA (background render)",—,"CGI product render, front three-quarter angle, transparent background - isolated cutout, not a full photographed scene.",ASSIGNED. FLEXIBLE ASSET like Molosoc-Product-Standing-Compress.png - reused as-is across both final-CTA sections.
homepage-results-full.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/homepage-results-full.jpg,customer-proof-photo,"Multi-use: Homepage final CTA + Product page ""Real results, no filters"" (Persona 2)",Persona 2,"Real customer proof photo, four panels - toenail before/after close-ups (including a visibly ingrown nail edge) and a healed nail comparison, time-stamped and unedited.",ASSIGNED. Fixed scene - display uncropped per the brand's "no filters" authenticity claim; do not retouch or crop. Same authenticity convention as Molosoc-Real-3-months-results-1.jpg.
Mom-Feet-cracked-heals-before-using-Molosoc.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/Mom-Feet-cracked-heals-before-using-Molosoc.jpg,customer-proof-photo,"Multi-use: Pillar 1 Cracked Heels final CTA + Pillar 3 Hardened Skin final CTA + Pillar 4 Dry Skin final CTA + Product page proof section (""3-month before/after"" card)",Persona 2,"Extreme close-up of a real heel showing visibly dry, cracked, flaking skin texture.","ASSIGNED 2026-07-30, reused 2026-07-31 for Pillar 3 and Pillar 4. Fixed scene - use as-is; customer 'before' proof photo, no retouching. Reads as ""hardened/dry skin"" proof at least as directly as ""cracked heels"" proof, hence the reuse — no dedicated Pillar 3 proof photo exists yet."
molosoc_ingrown_toenail.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_ingrown_toenail.jpg,lifestyle-scene,"Pillar 2 Ingrown Toenails / ""Do ingrown toenails go away"" (Image B - revealed after the circular mask opens)",Persona 2,"Woman in cream loungewear seated on a bathroom ledge, foot soaking in a steaming white basin, nail clippers and cotton pads on the floor beside her, sheer-curtained window, eucalyptus sprig on a shelf.","ASSIGNED 2026-07-31. A dedicated ingrown-toenail-relevant close-up, unlike Pillar 1 which had to cross-reuse a Pillar 3 texture shot for the same Image B slot."
Compare-Molosoc-Nails.jpg,https://staging.molosoc.com/wp-content/uploads/2026/05/Compare-Molosoc-Nails.jpg,customer-proof-photo,"Multi-use: Pillar 2 Ingrown Toenails final CTA + Product page proof section (nail comparison card)",Persona 2,"Real customer proof photo, two stacked panels - red-painted toenails, showing a healed nail edge versus a visibly rough/ingrown nail edge on the same toe.","ASSIGNED. Fixed scene - use as-is, no retouching."
molosoc_pedicure_01.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_pedicure_01.jpg,lifestyle-scene,"Pillar 2 Ingrown Toenails - candidate (alternate hero, or a future ""Go deeper"" spoke thumbnail)",Persona 2,"Woman in cream loungewear seated on a wooden stool in a bright minimalist hallway, filing a toenail with a nail file while her foot rests in a white basin, small dish of tools and a folded towel beside her.",Fixed scene - use as-is. Uploaded 2026-07-30; not yet mapped to a specific page section. Strong topical fit for Pillar 2 given the visible toenail-filing action - logical pick if/when the "Go deeper" cards on pillar pages get thumbnails.
molosoc_cracked_heels_05.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_cracked_heels_05.jpg,lifestyle-scene,"Pillar 1 Cracked Heels / Go deeper (""Cracked heels cream"" thumbnail)",Persona 2,"Woman seated on a couch examining a visibly cracked heel with her hands, bright minimalist living room with sheer curtains.","ASSIGNED 2026-07-31. Fixed scene - use as-is. One of 3 photos sourced to give the ""Go deeper"" card grid distinct thumbnails instead of repeating the page hero."
molosoc_cracked_heels_03.jpg,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc_cracked_heels_03.jpg,lifestyle-scene,"Pillar 1 Cracked Heels / Go deeper (""How to fix cracked heels permanently"" thumbnail)",Persona 2,"Bare legs and feet in tan sandals stepping through a doorway onto a stone step, a visibly dry/cracked heel on the trailing foot.","ASSIGNED 2026-07-31. Fixed scene - use as-is. Similar concept to pillar1_03_sandals.jpg but a distinct shoot/crop - one of 3 photos sourced for ""Go deeper"" thumbnail variety."
molosoc-6a6c3e786c068.png,https://staging.molosoc.com/wp-content/uploads/2026/07/molosoc-6a6c3e786c068.png,lifestyle-scene,"Pillar 1 Cracked Heels / Go deeper (""Cracked heels treatment"" thumbnail)",Persona 2,"Woman in a linen robe seated on a wooden bench, foot resting on a stone stool while a practitioner applies foot balm from a labeled ""Heal & Hydrate Foot Balm"" jar - spa-style treatment setting with candle, foot file, and towels.","ASSIGNED 2026-07-31. Fixed scene - use as-is. Auto-generated filename (not yet renamed on WP) - most literally ""treatment""-themed of the 3 sourced Go-deeper thumbnails, hence this card."
